,ROE－綜合損益,ROE－綜合損益,ROE－綜合損益,ROE－綜合損益
2385 群光,16.05,7.3,20.64,17.34
2387 精元,7.79,3.39,9.98,9.23
2388 威盛,5.33,3.92,2.63,4.32
2390 云辰,-3.57,-5.2,-3.51,-0.63
2392 正崴,5.36,3.45,3.67,3.63
2393 億光,9.37,4.79,7.03,6.94
2395 研華,9.41,4.42,25.44,21.51
2397 友通,3.44,1.69,7.4,5.78
2399 映泰,2.06,1.7,-4.64,0.95
2401 凌陽,4.23,2.71,-1.19,0.36
2402 毅嘉,9.06,5.42,5.85,7.35
2404 漢唐,20.74,12.49,40.92,35.52
2405 輔信,2.57,1.86,1.56,1.96
2406 國碩,-1.61,-0.4,-14.67,-7.65
2408 南亞科,0.49,0.53,-4.28,-1.33
2409 友達,-1.11,-1.29,-10.69,-8.53
2412 中華電,5.21,2.59,9.8,7.72
2413 環科,-0.87,1.02,2.23,6.03
2414 精技,5.35,2.44,9.86,8.12
2415 錩新,4.21,4.1,-1.53,2.12
2417 圓剛,1.3,0.51,2.8,3.09
2419 仲琦,3.3,2.14,3.25,4.82
2420 新巨,10.69,5.64,14.43,12.55
2421 建準,11.73,6.08,20.8,19
2423 固緯,6.29,4.13,14.8,11.05
2424 隴華,-44.02,-22.48,-67.7,-54.42
2425 承啟,8.21,2.52,12.4,13.29
2426 鼎元,3.33,-0.17,-3.22,-2.77
2427 三商電,5.57,3.63,12.45,8.28
2428 興勤,12.01,6.42,13.01,12.21
2429 銘旺科,-18.29,-5.15,-17.5,-12.14
2430 燦坤,2.01,1.16,6.33,4.53
2431 聯昌,-0.25,0.41,-7.08,-2.24
2433 互盛電,5.21,1.08,8.88,7.41
2434 統懋,5.79,10.52,-7.73,-6.46
2436 偉詮電,6.68,2.98,8.21,6.48
2438 翔耀,-9.92,-8.71,-10.59,-4.07
2439 美律,8.86,4.84,9.4,7.73
2440 太空梭,5.26,3.92,-12.36,-5.43
2441 超豐,8.29,5.53,12.86,8.71
2442 新美齊,5.58,3.86,10.11,5.44
2443 昶虹,,,,6.55
2444 兆勁,-1.03,0.75,-1.31,0.76
2449 京元電子,10.99,5.1,18.84,14.77
2450 神腦,4.09,2.61,10.56,8.94
2451 創見,9.55,5,10.93,7.97
2453 凌群,7.28,3.91,13.55,9.61
2454 聯發科,16.78,13.02,20.55,17.09
2455 全新,12.86,6.1,13.4,8.73
2457 飛宏,5.02,3.59,2.88,7.76
2458 義隆,13.61,6.66,22.32,16.1
2459 敦吉,9.24,5.07,9.39,9.8
2460 建通,0.29,-0.88,-9.4,-4.38
2461 光群雷,7.47,0.99,-3.34,0.85
2462 良得電,7.68,4.3,8.25,10.37
2464 盟立,3.46,2.29,4.66,1.85
2465 麗臺,-22.79,-7.88,-22.16,-37.28
2466 冠西電,-2.17,0.79,0.72,1.59
2467 志聖,41.24,21.9,26.89,20.11
2468 華經,2.97,1.76,6.37,4.81
2471 資通,6.19,1,19.27,15.15
2472 立隆電,9.89,5.02,10.18,8.96
2474 可成,7.81,5.27,5.39,6.14
2476 鉅祥,10.67,5.13,11.2,9.61
2477 美隆電,7.39,4.27,0.01,4.46
2478 大毅,5.21,2.93,4.73,5.12
2480 敦陽科,14.73,7.48,25.34,20.03
2481 強茂,6.43,3.27,6.65,7.7
2482 連宇,3.67,2.73,24.37,24.2
2483 百容,2.56,1.52,1.07,3.28
2484 希華,-4.23,0.01,8.23,2.54
2485 兆赫,-2.87,-1.48,-4.97,-0.54
2486 一詮,1.71,0.7,3.77,3.43
2488 漢平,9.13,4.06,13.98,13.04
2489 瑞軒,7.47,5.41,3.57,4.43
2491 吉祥全,1.29,1.39,4.31,0.69
2492 華新科,6.89,3.95,7.65,8.94
2493 揚博,12.37,6.06,24.05,19.38
2495 普安,6.58,2.92,5.76,5.83
2496 卓越,6.29,3.47,12.4,8.54
2497 怡利電,7.22,2.77,10.58,8.61
